docId,filename,0 â fo faid,1 day water put,2 â tom ll,3 men â king,4 king george man,5 â œ man,6 god â thy,7 â 1 ft,8 â love iâ,9 oâ ye â
15,104184120.txt,0.0015128793150756758,7.58255507303224E-4,7.733075075194863E-4,0.34950267856694905,0.023647880426376496,0.5539279385648225,0.06364669455431426,0.005884489380480378,2.4176060941400967E-4,1.0411556774504155E-4
16,104184121.txt,0.001689039359130727,9.23421399852443E-5,0.004660308455441281,0.0016322891232002515,1.3889806810270518E-4,2.1734681812068604E-4,9.758723326886802E-5,0.16516687611853764,0.48890024377554087,0.3374050689086717
17,104184122.txt,3.726427985260241E-5,3.377746507735386E-4,0.005756151250870985,0.18593214898099172,0.002575911513517352,0.7599081029871957,0.024850567442766754,0.005486323899268427,0.01124937197132589,0.003866383023437012
18,104184123.txt,3.1456378631237425E-5,0.049998158875896634,0.010233395912213629,0.403906139783873,0.0438258940638438,0.2999291139851279,0.016946644863306465,0.17446169667877592,9.09102836836265E-5,5.765891746477382E-4
19,104184124.txt,1.7055295198060004E-4,8.897865916317934E-5,1.1966691486641384E-4,0.05256659688865352,1.3383882875261024E-4,0.029348722983188337,9.403270456040764E-5,3.4167272926767745E-4,0.9169236648761244,2.1227246344278055E-4
20,104184125.txt,1.2760601918317577E-4,6.657294615083198E-5,0.0022697064467877555,0.09710438460613403,0.019721692559663214,0.15494896615273115,0.022962169294467018,2.556361314124812E-4,0.6653215071917672,0.03722175865170308
21,104184126.txt,1.5811322180962737E-4,8.248876556643409E-5,1.1093869225845644E-4,0.07304506062555616,1.240769401617234E-4,0.4513269781815127,0.0662713309028459,0.08270927355958015,0.32597494930023274,1.967898104761159E-4
22,104184127.txt,9.752125301538562E-5,0.03337425674498286,6.84248929539818E-5,6.625371939383459E-5,7.652831645828575E-5,0.3233565295584564,5.376739051810493E-5,1.9536661366706002E-4,0.12357834375654715,0.519133007754007
23,104184128.txt,1.3527395489358908E-4,0.32941386276241424,9.491373005221014E-5,0.15609661807771075,0.11913197455366374,0.35724357051927985,0.02203080126742699,0.0037377689542622125,0.010791261934861943,0.0013239542454344202
24,104184129.txt,1.3465154670670747E-4,0.0023707956640162922,0.023099947195462586,0.021946675859507114,1.0566574833019033E-4,0.11519269595644828,7.423881535345095E-5,0.0025702976192041108,0.3029110815135243,0.5315939500814469
25,104184130.txt,0.2776213140141048,0.015143215881719543,1.372662124522623E-4,0.06865371064079455,0.003496000424268861,2.402308426260409E-4,0.4596985936370758,0.1675158246197216,5.65396461137476E-4,0.0069284472660991366
26,104184131.txt,0.4053558374288065,0.054745692736433905,7.363946399730187E-5,0.08255599607432645,8.236043874258067E-5,0.011784322878211904,0.3497212384761329,0.020831428557730004,0.07471885777842138,1.3062616719719953E-4
27,104184132.txt,0.30390313847228007,0.010439246110476965,0.12470773360922618,0.023438204914484395,7.950901411661783E-5,1.2441520221419863E-4,0.2051870042289495,0.10579791013205184,0.015872398455504907,0.2104504398606954
28,104184133.txt,0.3265565498252395,7.756474149809786E-5,1.0431639906447672E-4,1.010063608932679E-4,0.059809939332312184,0.04209486029598166,0.5665329907208673,0.001567913520247948,4.296769162343693E-4,0.002725181887661198
29,104184134.txt,0.4277133352640989,0.0097166406569582,3.460682418556188E-5,0.00888172967298697,0.041330403005562184,4.8190957142891415E-4,0.4668761846411063,0.03043556687434479,0.014046891941676617,4.827315476514698E-4
30,104184135.txt,0.1674774352669439,2.8721053533026057E-5,3.8626788719160735E-5,3.740113152395201E-5,4.3201282212532215E-5,6.760109305972986E-5,3.0352427952210453E-5,0.04666875885605033,0.43470483901043183,0.35090306308957325
31,104184136.txt,0.14309089099423297,0.6022909674225054,0.0029644430594504704,0.14344391418162028,3.369381290587892E-5,5.272386524506213E-5,0.02789968428734351,0.06610814863765901,0.01332851507087452,7.870186681627507E-4
32,104184137.txt,0.34243100256238906,6.412633258464261E-5,0.003236317568646382,8.350659548017673E-5,0.009546679998789259,0.0033010093416837283,0.4442282609341308,0.09054837444443381,0.0948574660116139,0.011703256210248212
33,104184138.txt,0.006048360432262611,0.03763361158059813,0.14444150213203966,0.027764170141862596,0.018877442831395454,0.3402787038934616,6.38152986165071E-5,0.032861256867168884,0.298942781692575,0.09308835513001953
34,104184139.txt,0.3996398211247515,9.71917454874102E-5,0.035142575438692106,1.2656503884292245E-4,1.4619268825574397E-4,0.00659455462788814,1.0271229950057407E-4,0.08153707422693325,0.47638144674833716,2.3186606131117985E-4
